"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA"
250000008373;"AMAURI DA SILVA";"#NULO#";"PSC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";"N";36000;"SUPLENTE";17790;71953,33;"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000010855;"ROGÉRIO DE PAULA MATEUS";"#NULO#";"PPS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"SERVENTUÁRIO DE JUSTIÇA";"APTO";"N";NA;"SUPLENTE";555;NA;NA
250000010905;"ROSANA PEREIRA DA SILVA";"#NULO#";"PHS";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"TAXISTA";"APTO";"N";6611369,85;"SUPLENTE";336;NA;NA
250000014876;"MARZENI PEREIRA DA SILVA";"#NULO#";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";"N";3e+05;"SUPLENTE";1589;NA;NA
250000022154;"WADIH JORGE MUTRAN";"#NULO#";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"VEREADOR";"APTO";"S";4794190,61;"SUPLENTE";17646;231522,96;"Recursos próprios, Recursos de pessoas físicas"
250000013957;"SUELI DE MELO";"#NULO#";"PRTB";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"DIVORCIADO(A)";"PARDA";"COMERCIANTE";"APTO";"N";471500;"NÃO ELEITO";567;NA;NA
250000014870;"CAIO JÚLIO CESAR DEZORZI";"#NULO#";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"SUPLENTE";1266;1115;"Recursos de pessoas físicas"
250000005822;"GENYS ALVES JUNIOR";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";621720,85;"SUPLENTE";1415;7300;"Recursos próprios, Recursos de pessoas físicas"
250000006170;"MONICA VIVIANE CHAVES CORREA SISMANOGLU";"#NULO#";"PC do B";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";47500;"NÃO ELEITO";265;9105,89;"Recursos de partido político, Recursos de pessoas físicas"
250000006174;"ADELSON FERREIRA DA SILVA";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";427000;"NÃO ELEITO";233;NA;NA
250000050164;"PAULO SERGIO DE ALMEIDA BRAGA";"#NULO#";"PSL";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";NA;"NÃO ELEITO";2017;NA;NA
250000019187;"MARIA APARECIDA PINTO SANCHEZ";"#NULO#";"PTB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";585905,56;"SUPLENTE";191;NA;NA
250000011001;"PAULO ROBERTO DE ABREU";"#NULO#";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO SUPERIOR";"APTO";"N";542344,14;"SUPLENTE";761;NA;NA
250000011021;"MAURO KOVTUN SLIACHTICAS";"#NULO#";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"APTO";"N";NA;"SUPLENTE";496;2615,83;"Recursos de outros candidatos, Recursos de partido político"
